corr,date,id
0.102091146,12/14/17,1079
0.113844599,12/15/17,1080
0.126292715,12/18/17,1081
0.141676226,12/19/17,1082
0.092682026,12/20/17,1083
0.085799106,12/21/17,1084
0.091879428,12/22/17,1085
0.066979345,12/26/17,1086
0.059674358,12/27/17,1087
0.055866569,12/28/17,1088
0.057113472,12/29/17,1089
0.081964968,1/2/18,1090
0.085006689,1/3/18,1091
0.086165384,1/4/18,1092
0.108935051,1/5/18,1093
0.103679167,1/8/18,1094
0.106632836,1/9/18,1095
0.103266884,1/10/18,1096
0.066664341,1/11/18,1097
0.082721446,1/12/18,1098
0.117633002,1/16/18,1099
0.100971802,1/17/18,1100
0.088249654,1/18/18,1101
0.103082754,1/19/18,1102
0.08168019,1/22/18,1103
0.079430801,1/23/18,1104
0.055605743,1/24/18,1105
0.055033809,1/25/18,1106
0.04364834,1/26/18,1107
0.042368666,1/29/18,1108
0.101524571,1/30/18,1109
0.087562171,1/31/18,1110
0.095387625,2/1/18,1111
0.129725894,2/2/18,1112
0.338381378,2/5/18,1113
0.358317079,2/6/18,1114
0.360130635,2/7/18,1115
0.252410569,2/8/18,1116
0.257739295,2/9/18,1117
0.258216573,2/12/18,1118
0.256371461,2/13/18,1119
0.271163102,2/14/18,1120
0.279430213,2/15/18,1121
0.285019408,2/16/18,1122
0.283560468,2/20/18,1123
0.289371047,2/21/18,1124
0.295998311,2/22/18,1125
0.296832914,2/23/18,1126
0.294062258,2/26/18,1127
0.283491075,2/27/18,1128
0.288026318,2/28/18,1129
0.272953127,3/1/18,1130
0.270415165,3/2/18,1131
0.273248661,3/5/18,1132
0.271808867,3/6/18,1133
0.275259655,3/7/18,1134
0.269736966,3/8/18,1135
0.265993705,3/9/18,1136
0.271191523,3/12/18,1137
0.271462799,3/13/18,1138
0.278941919,3/14/18,1139
0.279742952,3/15/18,1140
0.279306594,3/16/18,1141
0.267696408,3/19/18,1142
0.268139254,3/20/18,1143
0.267913883,3/21/18,1144
0.264766412,3/22/18,1145
0.253565733,3/23/18,1146
0.210984565,3/26/18,1147
0.219946494,3/27/18,1148
0.229531774,3/28/18,1149
0.198472374,3/29/18,1150
0.183758352,4/2/18,1151
0.190537997,4/3/18,1152
0.176854799,4/4/18,1153
0.176499594,4/5/18,1154
0.179077474,4/6/18,1155
